ror,id_oa,display_name,NomeEsteso,type,NomeOperativo,status,Tipologia,Statale,Indirizzo,COMUNE,PROVINCIA,REGIONE,ZonaGeografica,URL,ClasseDimensione,NomeRubrica,score
https://ror.org/00s6t1f81,https://openalex.org/I25217355,University of Pavia,Università degli Studi di Pavia,funder,Pavia,Attivo    ,Università,Statale   ,"Corso Strada Nuova, 65",PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,www.unipv.it,da 20.000 a 29.999,PAVIA,85.71
https://ror.org/00s6t1f81,https://openalex.org/I25217355,University of Pavia,Università degli Studi di Pavia,funder,Pavia,Attivo    ,Università,Statale   ,"Corso Strada Nuova, 65",PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,www.unipv.it,da 20.000 a 29.999,I.U.S.S. - PAVIA,85.71
https://ror.org/01tevnk56,https://openalex.org/I102064193,University of Siena,Università degli Studi di Siena,funder,Siena,Attivo    ,Università,Statale   ,"Via Banchi di Sotto, 55",SIENA,SIENA,TOSCANA,CENTRO,www.unisi.it,da 10.000 a 19.999,SIENA,85.71
https://ror.org/01tevnk56,https://openalex.org/I102064193,University of Siena,Università degli Studi di Siena,funder,Siena,Attivo    ,Università,Statale   ,"Via Banchi di Sotto, 55",SIENA,SIENA,TOSCANA,CENTRO,www.unisi.it,da 10.000 a 19.999,Gran Sasso Science Institute,85.71
https://ror.org/03ad39j10,https://openalex.org/I108290504,University of Pisa,Università degli Studi di Pisa,funder,Pisa,Attivo    ,Università,Statale   ,"Lungarno Pacinotti, 43/44",PISA,PISA,TOSCANA,CENTRO,www.unipi.it,da 30.000 a 59.999,PISA,84.85
https://ror.org/00qvkm315,https://openalex.org/I4210095444,Saint Camillus International University of Health and Medical Sciences,Saint Camillus International University of Health,education,Roma Saint Camillus,Attivo    ,Università,Non Statale,via dei Cartari n. 42,ROMA,ROMA,LAZIO,CENTRO,,inferiore a 10.000,,82.35
https://ror.org/00s409261,https://openalex.org/I115752224,University of Insubria,Università degli Studi dell' Insubria,funder,Insubria,Attivo    ,Università,Statale   ,"Via Ravasi, 2",VARESE,VARESE,LOMBARDIA,NORD-OVEST,www.uninsubria.it,da 10.000 a 19.999,INSUBRIA,80.43
https://ror.org/03svwq685,https://openalex.org/I138938424,Università degli Studi della Tuscia,Università degli Studi della Tuscia,funder,Tuscia,Attivo    ,Università,Statale   ,"Via S.Maria in Gradi, 4",VITERBO,VITERBO,LAZIO,CENTRO,www.unitus.it,inferiore a 10.000,TUSCIA,78.79
https://ror.org/04q4kt073,https://openalex.org/I190397597,University of Urbino,"Università degli studi ""Carlo Bo"" di Urbino",funder,Urbino Carlo Bo,Attivo    ,Università,Statale   ,"Via A. Saffi, 2",URBINO,PESARO E URBINO,MARCHE,CENTRO,www.uniurb.it,da 10.000 a 19.999,Urbino Carlo Bo,78.26
https://ror.org/04vd28p53,https://openalex.org/I246010334,Università degli Studi di Enna Kore,"Libera Università della Sicilia Centrale ""KORE"" di Enna",funder,Enna - KORE,Attivo    ,Università,Non Statale,"Via delle Olimpiadi, 4",ENNA,ENNA,SICILIA,ISOLE,www.unikore.it,inferiore a 10.000,,77.78
https://ror.org/044npx850,https://openalex.org/I31762744,University of Gastronomic Sciences,Università di Scienze Gastronomiche,funder,Bra - Scienze Gastronomiche,Attivo    ,Università,Non Statale,"P.zza Vittorio Emanuele, 9",BRA,CUNEO,PIEMONTE,NORD-OVEST,www.unisg.it,inferiore a 10.000,,77.27
https://ror.org/01e6ksd91,https://openalex.org/I11986463,Università Iuav di Venezia,Università Iuav di Venezia,education,Venezia Iuav,Attivo    ,Università,Statale   ,"Sestiere di Santa Croce, 191 Tolentini",VENEZIA,VENEZIA,VENETO,NORD-EST,www.iuav.it,inferiore a 10.000,Università IUAV di VENEZIA,76.92
https://ror.org/011at3t25,https://openalex.org/I4210099865,European University of Rome,Università Europea di Roma,education,Roma Europea,Attivo    ,Università,Non Statale,"Via degli Aldobrandeschi, 190",ROMA,ROMA,LAZIO,CENTRO,www.unier.it,inferiore a 10.000,,76.0
https://ror.org/03126ng80,https://openalex.org/I4210133595,University of Aosta Valley,Università della Valle d'Aosta,education,Aosta,Attivo    ,Università,Non Statale,"Strada Cappuccini, 2A",AOSTA,AOSTA,VALLE D'AOSTA,NORD-OVEST,www.univda.it,inferiore a 10.000,,76.0
https://ror.org/006maft66,https://openalex.org/I167322064,Università degli Studi eCampus,"Università telematica ""e-Campus"" di Novedrate (CO)",education,Novedrate e-Campus,Attivo    ,Università telematica,Non Statale,"Via Isimbardi, 10",NOVEDRATE,COMO,LOMBARDIA,NORD-OVEST,www.uniecampus.it,da 20.000 a 29.999,,75.68
https://ror.org/041sz8d87,https://openalex.org/I59725666,University of Reggio Calabria,Università della Calabria,funder,Calabria,Attivo    ,Università,Statale   ,Via Pietro Bucci,RENDE,COSENZA,CALABRIA,SUD,www.unical.it,da 20.000 a 29.999,Mediterranea di REGGIO CALABRIA,75.0
https://ror.org/041sz8d87,https://openalex.org/I59725666,University of Reggio Calabria,Università della Calabria,funder,Calabria,Attivo    ,Università,Statale   ,Via Pietro Bucci,RENDE,COSENZA,CALABRIA,SUD,www.unical.it,da 20.000 a 29.999,della CALABRIA,75.0
https://ror.org/01gz5zx42,https://openalex.org/I4210107293,Università per Stranieri Dante Alighieri,Università per stranieri di Siena,education,Siena Stranieri,Attivo    ,Università,Statale   ,"Piazza Rosselli, 27-28",SIENA,SIENA,TOSCANA,CENTRO,www.unistrasi.it,inferiore a 10.000,Stranieri di SIENA,72.86
https://ror.org/01nffqt88,https://openalex.org/I93860229,Politecnico di Milano,Politecnico di Milano,funder,Milano Politecnico,Attivo    ,Politecnico,Statale   ,"Piazza Leonardo da Vinci, 32",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.polimi.it,da 30.000 a 59.999,Politecnico di MILANO,72.22
https://ror.org/01yetye73,https://openalex.org/I124326101,University of Teramo,Università degli Studi di Teramo,funder,Teramo,Attivo    ,Università,Statale   ,"Via Renato Balzarini, 1",TERAMO,TERAMO,ABRUZZO,SUD,www.unite.it,inferiore a 10.000,TERAMO,71.79
https://ror.org/01gmqr298,https://openalex.org/I154387261,Vita-Salute San Raffaele University,Libera Università Vita-Salute San Raffaele di Milano,education,Milano San Raffaele,Attivo    ,Università,Non Statale,"Via Olgettina, 58",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.unisr.it,inferiore a 10.000,,71.43
https://ror.org/02be6w209,https://openalex.org/I861853513,Sapienza University of Rome,Università degli Studi di Roma La Sapienza,funder,Roma La Sapienza,Attivo    ,Università,Statale   ,"P.zza Aldo Moro, 5",ROMA,ROMA,LAZIO,CENTRO,www.uniroma1.it,60.000 e oltre,"ROMA ""La Sapienza""",70.37
https://ror.org/02rc97e94,https://openalex.org/I45204951,University of Calabria,Università della Calabria,funder,Calabria,Attivo    ,Università,Statale   ,Via Pietro Bucci,RENDE,COSENZA,CALABRIA,SUD,www.unical.it,da 20.000 a 29.999,Mediterranea di REGGIO CALABRIA,70.27
https://ror.org/02rc97e94,https://openalex.org/I45204951,University of Calabria,Università della Calabria,funder,Calabria,Attivo    ,Università,Statale   ,Via Pietro Bucci,RENDE,COSENZA,CALABRIA,SUD,www.unical.it,da 20.000 a 29.999,della CALABRIA,70.27
https://ror.org/012ajp527,https://openalex.org/I171543936,Free University of Bozen-Bolzano,Libera Università di Bolzano,funder,Bolzano,Attivo    ,Università,Non Statale,Piazza Università 1,BOLZANO - BOZEN,BOLZANO,Provincia autonoma di Bolzano,NORD-EST,www.unibz.it,inferiore a 10.000,,70.18
https://ror.org/03gnn5r15,https://openalex.org/I4210162684,Scuola Superiore Internazionale di Studi Universitari di Ricerca e Formazione,"Scuola Superiore di Studi Universitari e Perfezionamento ""S. Anna"" di Pisa",education,Pisa S.Anna,Attivo    ,Scuola Superiore ad Ordinamento Speciale,Statale   ,"P.zza Martiri della Libertà, 33",PISA,PISA,TOSCANA,CENTRO,www.sssup.it,,Scuola Superiore Sant'Anna,68.38
https://ror.org/00qjgza05,https://openalex.org/I39387349,University of Chieti-Pescara,Università degli studi Gabriele D'Annunzio di Chieti e Pescara,funder,Chieti e Pescara,Attivo    ,Università,Statale   ,"Via dei Vestini, 31 Campus Universitario",CHIETI,CHIETI,ABRUZZO,SUD,www.unich.it,da 20.000 a 29.999,CHIETI-PESCARA,68.0
https://ror.org/02jcvm930,https://openalex.org/I4210131167,Centro Universitario Internazionale,Università degli Studi Internazionali di Roma – UNINT,education,Roma UNINT,Attivo    ,Università,Non Statale,"Via Cristoforo Colombo, 200",ROMA,ROMA,LAZIO,CENTRO,www.luspio.it,inferiore a 10.000,,67.61
https://ror.org/05pcv4v03,https://openalex.org/I183638586,Parthenope University of Naples,Università degli Studi di Napoli - Parthenope,funder,Napoli Parthenope,Attivo    ,Università,Statale   ,"Via Amm.F. Acton, 38",NAPOLI,NAPOLI,CAMPANIA,SUD,www.uniparthenope.it,da 10.000 a 19.999,"""Parthenope"" di NAPOLI",66.67
https://ror.org/03j4zvd18,https://openalex.org/I210167222,Foro Italico University of Rome,"Università degli studi di Roma ""Foro Italico""",funder,Roma Foro Italico,Attivo    ,Università,Statale   ,"Piazza Lauro de Bosis, 15",ROMA,ROMA,LAZIO,CENTRO,www.iusm.it,inferiore a 10.000,"ROMA ""Foro Italico""",66.1
https://ror.org/03a64bh57,https://openalex.org/I39063666,University of Catania,Università degli Studi di Catania,funder,Catania,Attivo    ,Università,Statale   ,"P.zza dell'Universita',2",CATANIA,CATANIA,SICILIA,ISOLE,www.unict.it,da 30.000 a 59.999,CATANIA,65.79
https://ror.org/044k9ta02,https://openalex.org/I900890020,University of Palermo,Università degli Studi di Palermo,funder,Palermo,Attivo    ,Università,Statale   ,"P.zza della Marina, 61 Pal. Steri",PALERMO,PALERMO,SICILIA,ISOLE,www.unipa.it,da 30.000 a 59.999,PALERMO,65.31
