ateneo_id,score,cognome_rubrica,nome_completo_rubrica,display_name_openalex,author_id_openalex,orcid
https://openalex.org/I93860229,100.00,BAGHERIFARD Sara,BAGHERIFARD Sara,Sara Bagherifard,https://openalex.org/A5055138043,https://orcid.org/0000-0002-5757-2785
https://openalex.org/I93860229,100.00,BAGLIONE Chiara,BAGLIONE Chiara,Chiara Baglione,https://openalex.org/A5047511688,
https://openalex.org/I93860229,100.00,BALDELLI BOMBELLI Francesca,BALDELLI BOMBELLI Francesca,Francesca Baldelli Bombelli,https://openalex.org/A5024719839,https://orcid.org/0000-0001-8138-9246
https://openalex.org/I93860229,100.00,BALESTRERI Isabella Carla Rachele,BALESTRERI Isabella Carla Rachele,Isabella Carla Rachele Balestreri,https://openalex.org/A5114956484,
https://openalex.org/I93860229,100.00,BALLARIN Pietro,BALLARIN Pietro,Pietro Ballarin,https://openalex.org/A5019344225,https://orcid.org/0000-0002-0631-5746
https://openalex.org/I93860229,100.00,BALLIO Francesco,BALLIO Francesco,Francesco Ballio,https://openalex.org/A5026959433,https://orcid.org/0000-0002-8499-1707
https://openalex.org/I93860229,100.00,BALOCCO Raffaello,BALOCCO Raffaello,Raffaello Balocco,https://openalex.org/A5082203097,
https://openalex.org/I93860229,100.00,BAMONTE Patrick,BAMONTE Patrick,Patrick Bamonte,https://openalex.org/A5000634899,https://orcid.org/0000-0002-4967-1089
https://openalex.org/I93860229,100.00,BANFI Fabrizio,BANFI Fabrizio,Fabrizio Banfi,https://openalex.org/A5049184075,https://orcid.org/0000-0002-5193-0043
https://openalex.org/I93860229,100.00,BARALDI Piero,BARALDI Piero,Piero Baraldi,https://openalex.org/A5048799305,https://orcid.org/0000-0003-4232-4161
https://openalex.org/I93860229,100.00,BARAZZETTI Luigi,BARAZZETTI Luigi,Luigi Barazzetti,https://openalex.org/A5051884519,https://orcid.org/0000-0002-7859-8677
https://openalex.org/I93860229,100.00,BARBARA Anna,BARBARA Anna,A. K. Barbara,https://openalex.org/A5018916004,https://orcid.org/0000-0002-9265-7290
https://openalex.org/I93860229,100.00,BARBERA Vincenzina,BARBERA Vincenzina,Vincenzina Barbera,https://openalex.org/A5007998964,https://orcid.org/0000-0002-4503-4250
https://openalex.org/I93860229,100.00,BARBIERI Riccardo,BARBIERI Riccardo,Riccardo Barbieri,https://openalex.org/A5030899687,https://orcid.org/0000-0001-9381-3833
https://openalex.org/I93860229,100.00,BARCELLONA Simone,BARCELLONA Simone,Simone Barcellona,https://openalex.org/A5027375708,https://orcid.org/0000-0003-4292-1767
https://openalex.org/I93860229,100.00,BARELLA Silvia,BARELLA Silvia,Silvia Barella,https://openalex.org/A5068620707,https://orcid.org/0000-0002-1866-6674
https://openalex.org/I93860229,100.00,BARENGHI Alessandro,BARENGHI Alessandro,Alessandro Barenghi,https://openalex.org/A5061596244,https://orcid.org/0000-0003-0840-6358
https://openalex.org/I93860229,100.00,BARESI Luciano,BARESI Luciano,Luciano Baresi,https://openalex.org/A5063590018,https://orcid.org/0000-0001-6467-837X
https://openalex.org/I93860229,100.00,BARGIGIA Ilaria,BARGIGIA Ilaria,Ilaria Bargigia,https://openalex.org/A5084084531,https://orcid.org/0000-0003-4428-7958
https://openalex.org/I93860229,100.00,BARICCI Andrea,BARICCI Andrea,Andrea Baricci,https://openalex.org/A5063016846,https://orcid.org/0000-0003-2331-7222
https://openalex.org/I93860229,100.00,BARLETTA Luca,BARLETTA Luca,Luca Barletta,https://openalex.org/A5054111453,https://orcid.org/0000-0003-4052-2092
https://openalex.org/I93860229,100.00,BARRESI Marzio,BARRESI Marzio,Marzio Barresi,https://openalex.org/A5052514800,https://orcid.org/0000-0003-0017-5962
https://openalex.org/I93860229,100.00,BARTOLOMUCCI Federico,BARTOLOMUCCI Federico,Federico Bartolomucci,https://openalex.org/A5078461308,https://orcid.org/0000-0001-7971-6199
https://openalex.org/I93860229,100.00,BARUCCI Emilio,BARUCCI Emilio,Emilio Barucci,https://openalex.org/A5014772981,https://orcid.org/0000-0003-4405-5487
https://openalex.org/I93860229,100.00,BARUFFALDI Stefano Horst,BARUFFALDI Stefano Horst,Stefano Horst Baruffaldi,https://openalex.org/A5022683092,https://orcid.org/0000-0003-4022-7691
